시군명,상호명,업종코드,업태명,업종명(종목명),소재지도로명주소,소재지지번주소,전화번호,사용가능한지역화폐명,지류형지역화폐사용가능여부,카드형지역화폐사용가능여부,모바일형지역화폐사용가능여부,우편번호,위도,경도,데이터기준일자
안양시,토브,,,★카페,경기도 안양시 동안구 평촌대로127번길 40,경기도 안양시 동안구 호계동 1059-2번지,031-382-3777,안양사랑상품권,Y,N,,14099,37.3826982,126.9577566,2018-12-21
안양시,어린왕자,,,★카페,경기도 안양시 동안구 경수대로 927,경기도 안양시 동안구 비산동 571번지,031-466-2811,안양사랑상품권,Y,N,,13955,37.3981519,126.9336045,2018-12-21
안양시,밀과콩카페,,,★카페,경기도 안양시 동안구 관평로182번길 54,경기도 안양시 동안구 관양동 1604-4번지,031-476-5005,안양사랑상품권,Y,N,,14066,37.3938623,126.9632684,2018-12-21
안양시,산아래산야초,,,★카페,경기도 안양시 동안구 관악대로213번길 15,경기도 안양시 동안구 비산동 360-8번지,031-455-7083,안양사랑상품권,Y,N,,13919,37.4006785,126.9466068,2018-12-21
안양시,카페그레이스,,,★카페,경기도 안양시 만안구 안양로384번길 10-15,경기도 안양시 만안구 안양동 842-1번지,031-466-2950,안양사랑상품권,Y,N,,13990,37.4049932,126.9173142,2018-12-21
안양시,카페더치즈케익,,,★카페,경기도 안양시 동안구 평촌대로223번길 64,경기도 안양시 동안구 호계동 1045-2번지,031-387-3600,안양사랑상품권,Y,N,,14072,37.3905202,126.9522538,2018-12-21
안양시,생활커피,,,★카페,경기도 안양시 동안구 경수대로 588,경기도 안양시 동안구 호계동 985-5번지,031-458-7789,안양사랑상품권,Y,N,,14109,37.3751331,126.9571934,2018-12-21
안양시,브랜다커피,,,★카페,경기도 안양시 동안구 흥안대로145번길 31,경기도 안양시 동안구 호계동 997-3번지,031-427-7435,안양사랑상품권,Y,N,,14112,37.3723895,126.9595977,2018-12-21
안양시,메고지고평촌점,,,★카페,경기도 안양시 동안구 평촌대로 109,경기도 안양시 동안구 호계동 1065-10번지,031-388-8552,안양사랑상품권,Y,N,,14099,37.3819452,126.9602358,2018-12-21
안양시,커피에반하다,,,★카페,경기도 안양시 동안구 관평로212번길 15,경기도 안양시 동안구 관양동 1588-13번지,031-383-0529,안양사랑상품권,Y,N,,14051,37.3961961,126.959686,2018-12-21
안양시,드립앤더치레지나,,,★카페,경기도 안양시 동안구 시민대로159번길 25,경기도 안양시 동안구 비산동 1104-1번지,031-381-1750,안양사랑상품권,Y,N,,14048,37.3905777,126.9475622,2018-12-21
안양시,허브카페,,,★카페,경기도 안양시 동안구 귀인로190번길 135,경기도 안양시 동안구 평촌동 915-1번지,031-383-0727,안양사랑상품권,Y,N,,14103,37.3840823,126.9620017,2018-12-21
안양시,블레스카페,,,★카페,경기도 안양시 동안구 귀인로 81,경기도 안양시 동안구 호계동 924-26번지,031-427-3394,안양사랑상품권,Y,N,,14078,37.3823369,126.9489279,2018-12-21
